input	output	model	block_name	block_Q	item
"Name: Four Seasons Resort Sharm El Sheikh
Star rating: 5
City: Sharm el-Sheikh
Country: Egypt
Accommodation type: Hotel
Hotel facilities: Pets allowed, Conference rooms, Luggage storage
Room amenities: Balcony (upon inquiry)
Sport: Table tennis, Tennis court
Childcare services: Organised activities for kids
Wellness: Steam room
Accessibility: Accessible parking"	"The Four Seasons Resort Sharm El Sheikh is a 5 star hotel in Sharm el-Sheikh, Egypt.
It has a conference room, luggage storage, and pets are allowed.
The hotel has a tennis court and table tennis.
It also has a steam room and organised activities for kids."	google/flan-t5-xxl			
"Name: Four Seasons Resort Sharm El Sheikh
Star rating: 5
City: Sharm el-Sheikh
Country: Egypt
Accommodation type: Hotel
Hotel facilities: Pets allowed, Conference rooms, Luggage storage
Room amenities: Balcony (upon inquiry)
Sport: Table tennis, Tennis court
Childcare services: Organised activities for kids
Wellness: Steam room
Accessibility: Accessible parking"	"The Four Seasons Resort Sharm El Sheikh is a luxurious 5-star hotel located in the beautiful city of Sharm el-Sheikh, Egypt.
This stunning accommodation offers a wide range of facilities and amenities to ensure a comfortable and enjoyable stay for all guests.
One of the standout features of the Four Seasons Resort Sharm El Sheikh is its pet-friendly policy, allowing guests to bring their furry friends along on their travels.
The hotel also boasts several conference rooms, making it an ideal location for business meetings and events.
For those looking to explore the local area, the hotel offers luggage storage, so guests can leave their bags behind and set off on their adventures.
The rooms at the Four Seasons Resort Sharm El Sheikh are spacious and well-appointed, with many offering private balconies upon request.
Guests can enjoy a range of sporting activities during their stay, including table tennis and tennis on the hotel's courts.
Families are well catered for at the Four Seasons Resort Sharm El Sheikh, with a range of childcare services available."	mistralai/Mixtral-8x7B-Instruct-v0.1			
"Name: Four Seasons Resort Sharm El Sheikh
Star rating: 5
City: Sharm el-Sheikh
Country: Egypt
Accommodation type: Hotel
Hotel facilities: Pets allowed, Conference rooms, Luggage storage
Room amenities: Balcony (upon inquiry)
Sport: Table tennis, Tennis court
Childcare services: Organised activities for kids
Wellness: Steam room
Accessibility: Accessible parking"	"The Four Seasons Resort Sharm El Sheikh is a luxurious 5-star hotel located in the heart of the charming city of Sharm el-Sheikh, Egypt.
This hotel offers a wide range of facilities and services that are sure to make your stay comfortable and memorable.
The hotel features spacious and well-appointed rooms, equipped with all the modern amenities and conveniences to ensure a comfortable stay.
Many of the rooms offer stunning views of the surrounding area, and some even have balconies that can be requested upon inquiry.
The hotel also has a range of dining options, including several restaurants and bars, where you can indulge in a variety of delicious cuisines and refreshing drinks.
For those who like to stay active, the hotel has a range of sport facilities, including a tennis court, table tennis, and a steam room.
If you are traveling with children, the hotel has organized activities for kids to keep them entertained and engaged.
The hotel also offers childcare services, so you can enjoy some time to yourself while your little ones are taken care of.
In addition, the hotel has a range of conference rooms, making it an ideal choice for business travelers who need to host meetings or events.
There is also luggage storage available for those who need to store their bags before or after check-in.
For those with accessibility needs, the hotel offers accessible parking to make it easier to get around.
And if you are traveling with pets, the hotel is pet-friendly, so you can bring your furry friends along for the trip.
Overall, the Four Seasons Resort Sharm El Sheikh is an excellent choice for those looking for a luxurious and comfortable stay in this beautiful city.
With its range of facilities and services, you are sure to have an unforgettable experience."	tiiuae/falcon-180b-demo			
"Name: Four Seasons Resort Sharm El Sheikh
Star rating: 5
City: Sharm el-Sheikh
Country: Egypt
Accommodation type: Hotel
Hotel facilities: Pets allowed, Conference rooms, Luggage storage
Room amenities: Balcony (upon inquiry)
Sport: Table tennis, Tennis court
Childcare services: Organised activities for kids
Wellness: Steam room
Accessibility: Accessible parking"	"Experience luxury at the Five-star Four Seasons Resort Sharm El Sheikh, nestled in the vibrant city of Sharm el-Sheikh, Egypt.
This exquisite hotel offers an array of facilities including pet-friendly accommodation, conference rooms, and luggage storage.
Indulge in spacious rooms with optional balconies, while enjoying sports amenities like table tennis and tennis courts.
Families can benefit from organized activities for kids, while guests seeking relaxation can unwind in the steam room.
Accessibility features include convenient parking options."	ChatGPT/feb-20			
"Name: Four Seasons Resort Sharm El Sheikh
Star rating: 5
City: Sharm el-Sheikh
Country: Egypt
Accommodation type: Hotel
Hotel facilities: Pets allowed, Conference rooms, Luggage storage
Room amenities: Balcony (upon inquiry)
Sport: Table tennis, Tennis court
Childcare services: Organised activities for kids
Wellness: Steam room
Accessibility: Accessible parking"	"Escape to the 5-star Four Seasons Resort in Sharm el-Sheikh, Egypt.
This luxurious hotel offers pet-friendly accommodations with exceptional amenities like conference rooms and luggage storage.
Relax on private balconies (upon inquiry) or engage in sports like table tennis and tennis.
Kids are entertained with organized activities, while the steam room provides wellness seekers with relaxation.
Accessible parking ensures ease of access for all guests."	gemini-1.0-pro			
"Name: Horus Paradise Luxury Resort
Star rating: 5
City: Side
Country: Türkiye
Accommodation type: Hotel
Hotel facilities: On-site boutique shopping, Doctor on site
Room amenities: Air conditioning, Central heating
Sport: Diving, Surfing
Childcare services: Organised activities for kids, Kids' club
Wellness: Sauna, Steam room
Accessibility: Wheelchair accessible, Accessible parking, Accessible bathroom"	"The Horus Paradise Luxury Resort is a 5 star hotel located in Side, Turkey.
It has a doctor on site, on-site boutique shopping, air conditioning and central heating in the rooms, and a kids club.
The hotel also has a sauna and steam room for its guests."	google/flan-t5-xxl			
"Name: Horus Paradise Luxury Resort
Star rating: 5
City: Side
Country: Türkiye
Accommodation type: Hotel
Hotel facilities: On-site boutique shopping, Doctor on site
Room amenities: Air conditioning, Central heating
Sport: Diving, Surfing
Childcare services: Organised activities for kids, Kids' club
Wellness: Sauna, Steam room
Accessibility: Wheelchair accessible, Accessible parking, Accessible bathroom"	"Horus Paradise Luxury Resort is a 5-star hotel located in the beautiful city of Side, Türkiye.
This stunning accommodation offers a wide range of facilities and amenities to ensure a comfortable and unforgettable stay for all guests.
The hotel features an on-site boutique shopping area, where guests can enjoy a unique shopping experience and purchase souvenirs, clothing, and other items.
For added convenience, a doctor is available on-site to attend to any medical needs that may arise during your stay.
Each room at Horus Paradise Luxury Resort is equipped with air conditioning and central heating, ensuring a comfortable temperature year-round.
Guests can also enjoy a variety of sports and activities, including diving and surfing, making it an ideal destination for adventure seekers.
Families with children will appreciate the hotel's childcare services, which include organized activities for kids and a kids' club.
The hotel also offers a range of wellness facilities, including a sauna and steam room, perfect for unwinding and relaxing after a long day of sightseeing or activities."	mistralai/Mixtral-8x7B-Instruct-v0.1			
"Name: Horus Paradise Luxury Resort
Star rating: 5
City: Side
Country: Türkiye
Accommodation type: Hotel
Hotel facilities: On-site boutique shopping, Doctor on site
Room amenities: Air conditioning, Central heating
Sport: Diving, Surfing
Childcare services: Organised activities for kids, Kids' club
Wellness: Sauna, Steam room
Accessibility: Wheelchair accessible, Accessible parking, Accessible bathroom"	"The Horus Paradise Luxury Resort is a five-star hotel located in the beautiful city of Side in Türkiye.
This luxurious accommodation is designed to offer guests an exceptional experience, combining comfort, style, and sophistication.
Upon arrival, guests are welcomed by the friendly and professional staff, who ensure a smooth check-in process.
The hotel's elegant lobby area features comfortable seating, stylish decor, and a 24-hour reception desk.
The accommodation offers a range of room types to suit every guest's needs, including standard rooms, suites, and family rooms.
All rooms are tastefully decorated and equipped with modern amenities, such as air conditioning, central heating, and a flat-screen TV.
The hotel's on-site boutique shopping area is perfect for guests who love to shop.
Here, guests can browse a range of local and international brands, including fashion, jewelry, and souvenirs.
For guests who require medical attention, the hotel has a doctor on-site, providing peace of mind and convenience.
The hotel's dining options are sure to delight guests, with a range of international and local cuisine served in the hotel's restaurants.
The hotel's bars offer a selection of drinks, including cocktails, wines, and beers.
For guests who enjoy sports, the hotel offers a range of activities, including diving and surfing.
The hotel's childcare services include organized activities for kids and a kids' club, providing parents with a chance to relax and unwind.
The hotel's wellness facilities include a sauna and steam room, providing guests with the perfect opportunity to relax and rejuvenate.
The hotel also offers accessible facilities, including wheelchair accessible rooms, accessible parking, and accessible bathrooms.
Overall, the Horus Paradise Luxury Resort is an ideal destination for guests looking for a luxurious and comfortable stay in Türkiye.
With its range of facilities and services, this hotel is sure to provide guests with an unforgettable experience."	tiiuae/falcon-180b-demo			
"Name: Horus Paradise Luxury Resort
Star rating: 5
City: Side
Country: Türkiye
Accommodation type: Hotel
Hotel facilities: On-site boutique shopping, Doctor on site
Room amenities: Air conditioning, Central heating
Sport: Diving, Surfing
Childcare services: Organised activities for kids, Kids' club
Wellness: Sauna, Steam room
Accessibility: Wheelchair accessible, Accessible parking, Accessible bathroom"	"Experience luxury at the Horus Paradise Luxury Resort in Side, Türkiye.
This 5-star hotel offers impeccable service and top-notch facilities.
Located in the vibrant city of Side, guests can indulge in on-site boutique shopping and have access to a doctor when needed.
The rooms are equipped with modern amenities including air conditioning and central heating.
For sports enthusiasts, diving and surfing are available activities.
Families will appreciate the organized activities for kids and the dedicated kids' club.
Relax and rejuvenate in the sauna and steam room, or take advantage of the accessibility features including wheelchair accessibility, accessible parking, and bathrooms."	ChatGPT/feb-20			
"Name: Horus Paradise Luxury Resort
Star rating: 5
City: Side
Country: Türkiye
Accommodation type: Hotel
Hotel facilities: On-site boutique shopping, Doctor on site
Room amenities: Air conditioning, Central heating
Sport: Diving, Surfing
Childcare services: Organised activities for kids, Kids' club
Wellness: Sauna, Steam room
Accessibility: Wheelchair accessible, Accessible parking, Accessible bathroom"	"Indulge in the luxurious embrace of Horus Luxury Resort, a 5-star haven in Side, Türkiye.
This hotel boasts on-site shopping and a doctor, ensuring comfort and convenience.
Relax in rooms equipped with air conditioning and central heating, while indulging in exciting activities like diving and surfing.
Keep the young ones entertained with organized activities and a kids' club.
Rejuvenate in the sauna or steam room, and rest easy knowing that your needs are met, thanks to wheelchair accessibility, accessible parking, and accessible bathrooms."	gemini-1.0-pro			
"Name: Hotel Fahari Gardens
Star rating: 3
City: Nairobi
Country: Kenya
Accommodation type: Hotel
Hotel facilities: Breakfast, 24-hour reception
Room amenities: Coffee machine, Sitting area
Sport: Golf course, Pool table
Childcare services: Playground, Childcare
Wellness: Body treatments
Accessibility: Accessible hotel, Wheelchair accessible, Accessible parking"	"The Hotel Fahari Gardens is a 3-star hotel in Nairobi, Kenya.
It offers a 24-hour reception, a breakfast buffet, a pool table and a playground for children.
The hotel also provides body treatments and accessible parking."	google/flan-t5-xxl	1	5	1
"Name: Hotel Fahari Gardens
Star rating: 3
City: Nairobi
Country: Kenya
Accommodation type: Hotel
Hotel facilities: Breakfast, 24-hour reception
Room amenities: Coffee machine, Sitting area
Sport: Golf course, Pool table
Childcare services: Playground, Childcare
Wellness: Body treatments
Accessibility: Accessible hotel, Wheelchair accessible, Accessible parking"	"Hotel Fahari Gardens is a charming 3-star hotel located in the heart of Nairobi, Kenya.
This hotel offers a range of facilities and amenities to ensure a comfortable and enjoyable stay for all guests.
The hotel's accommodation type is a hotel, and it boasts a variety of room amenities such as a coffee machine and a sitting area, providing guests with a comfortable and relaxing space to unwind after a long day of exploring the city.
Hotel Fahari Gardens offers a range of hotel facilities, including a 24-hour reception, ensuring that guests have access to assistance and support at all times.
The hotel also offers a delicious breakfast, providing guests with the energy they need to start their day off right.
For sports enthusiasts, the hotel offers a golf course and a pool table, providing guests with the opportunity to enjoy some leisurely activities during their stay.
The hotel also offers childcare services, including a playground and childcare, ensuring that families with young children are well catered for.
Guests looking to relax and unwind can take advantage of the hotel's wellness facilities, which include body treatments."	mistralai/Mixtral-8x7B-Instruct-v0.1	2	10	6
"Name: Hotel Fahari Gardens
Star rating: 3
City: Nairobi
Country: Kenya
Accommodation type: Hotel
Hotel facilities: Breakfast, 24-hour reception
Room amenities: Coffee machine, Sitting area
Sport: Golf course, Pool table
Childcare services: Playground, Childcare
Wellness: Body treatments
Accessibility: Accessible hotel, Wheelchair accessible, Accessible parking"	"The Hotel Fahari Gardens is a 3-star hotel located in Nairobi, Kenya.
It is an accommodation of the hotel type.
The hotel offers a 24-hour reception and breakfast.
Guests can enjoy a golf course, pool table, and a playground for children.
Childcare services are also available.
The hotel also offers body treatments as part of its wellness facilities.
The hotel is accessible and wheelchair accessible with accessible parking.
The rooms feature a coffee machine and a sitting area."	tiiuae/falcon-180b-demo	3	15	11
"Name: Hotel Fahari Gardens
Star rating: 3
City: Nairobi
Country: Kenya
Accommodation type: Hotel
Hotel facilities: Breakfast, 24-hour reception
Room amenities: Coffee machine, Sitting area
Sport: Golf course, Pool table
Childcare services: Playground, Childcare
Wellness: Body treatments
Accessibility: Accessible hotel, Wheelchair accessible, Accessible parking"	"Hotel Fahari Gardens is a charming 3-star hotel located in Nairobi, Kenya.
This hotel offers comfortable accommodations with amenities including a coffee machine and sitting area in each room.
Guests can enjoy a complimentary breakfast and access to a 24-hour reception for convenience.
The hotel features recreational facilities such as a golf course and pool table for entertainment.
Families with children will appreciate the playground and childcare services available.
Additionally, guests can indulge in relaxing body treatments at the wellness center.
Hotel Fahari Gardens is accessible for all guests with features like accessible rooms, wheelchair accessibility, and convenient parking options."	ChatGPT/feb-20	4	20	16
"Name: Hotel Fahari Gardens
Star rating: 3
City: Nairobi
Country: Kenya
Accommodation type: Hotel
Hotel facilities: Breakfast, 24-hour reception
Room amenities: Coffee machine, Sitting area
Sport: Golf course, Pool table
Childcare services: Playground, Childcare
Wellness: Body treatments
Accessibility: Accessible hotel, Wheelchair accessible, Accessible parking"	"Hotel Fahari Gardens, a cozy 3-star hotel in Nairobi, Kenya, welcomes guests with a warm and inviting atmosphere.
The hotel offers a convenient 24-hour reception for your assistance.
Enjoy a delicious breakfast to start your day and indulge in body treatments for relaxation and rejuvenation.
For entertainment, the hotel boasts a golf course and pool table.
Families will appreciate the playground and childcare services, while guests with disabilities can enjoy the accessible amenities and parking.
The comfortable rooms feature coffee machines and sitting areas for your comfort."	gemini-1.0-pro	5	25	21
"Name: Hotel The St Regis Punta Mita Resort
Star rating: 5
City: Bahía de Banderas
Country: Mexico
Accommodation type: Hotel
Hotel facilities: Laundry service
Room amenities: Free WiFi (rooms)
Sport: Horse riding, Diving
Childcare services: Organised activities for kids, Playground
Wellness: Beauty salon, Massage, Hydrotherapy
Accessibility: Accessible bathroom, Accessible hotel"	"The St Regis Punta Mita Resort is a 5-star hotel in Baha de Banderas, Mexico.
It offers a beauty salon, massage, hydrotherapy, and a playground for children.
The hotel has free Wi-Fi and a laundry service.
The hotel is accessible for the disabled."	google/flan-t5-xxl	6	11	7
"Name: Hotel The St Regis Punta Mita Resort
Star rating: 5
City: Bahía de Banderas
Country: Mexico
Accommodation type: Hotel
Hotel facilities: Laundry service
Room amenities: Free WiFi (rooms)
Sport: Horse riding, Diving
Childcare services: Organised activities for kids, Playground
Wellness: Beauty salon, Massage, Hydrotherapy
Accessibility: Accessible bathroom, Accessible hotel"	"Hotel The St Regis Punta Mita Resort is a luxurious 5-star accommodation located in the beautiful city of Bahía de Banderas, Mexico.
This stunning hotel offers a wide range of facilities and amenities to ensure a comfortable and unforgettable stay for all guests.
The hotel features a laundry service, ensuring that guests can have their clothes cleaned and pressed during their stay.
The rooms are equipped with free WiFi, allowing guests to stay connected with their loved ones or work remotely.
For sports enthusiasts, the hotel offers a variety of activities, including horse riding and diving.
Guests can explore the beautiful surroundings of Bahía de Banderas while enjoying their favorite sports.
The hotel also offers childcare services, including organized activities for kids and a playground.
Parents can relax and enjoy their stay while their children are well taken care of and entertained.
For those seeking relaxation and rejuvenation, the hotel features a beauty salon, massage, and hydrotherapy services.
Guests can indulge in a variety of treatments and therapies to unwind and recharge."	mistralai/Mixtral-8x7B-Instruct-v0.1	7	16	12
"Name: Hotel The St Regis Punta Mita Resort
Star rating: 5
City: Bahía de Banderas
Country: Mexico
Accommodation type: Hotel
Hotel facilities: Laundry service
Room amenities: Free WiFi (rooms)
Sport: Horse riding, Diving
Childcare services: Organised activities for kids, Playground
Wellness: Beauty salon, Massage, Hydrotherapy
Accessibility: Accessible bathroom, Accessible hotel"	"The Hotel The St Regis Punta Mita Resort is a luxurious 5-star hotel located in Bahía de Banderas, Mexico.
This hotel offers world-class accommodations and amenities, making it the perfect place for a relaxing and comfortable stay.
The hotel offers a range of facilities including laundry services, free WiFi in rooms, horse riding, diving, organised activities for kids, playground, beauty salon, massage, hydrotherapy, and accessible bathroom and hotel.
The Hotel The St Regis Punta Mita Resort offers a range of room amenities including free WiFi, which means you can stay connected throughout your stay.
The hotel also offers a range of sport and wellness activities to keep you active and relaxed during your stay.
The hotel is located in a beautiful area of Mexico, and offers stunning views of the surrounding countryside.
The hotel is also accessible, making it an ideal choice for those with mobility issues.
Overall, the Hotel The St Regis Punta Mita Resort is the perfect choice for anyone looking for a luxurious and comfortable stay in Mexico."	tiiuae/falcon-180b-demo	8	21	17
"Name: Hotel The St Regis Punta Mita Resort
Star rating: 5
City: Bahía de Banderas
Country: Mexico
Accommodation type: Hotel
Hotel facilities: Laundry service
Room amenities: Free WiFi (rooms)
Sport: Horse riding, Diving
Childcare services: Organised activities for kids, Playground
Wellness: Beauty salon, Massage, Hydrotherapy
Accessibility: Accessible bathroom, Accessible hotel"	"Experience luxury at its finest at the 5-star Hotel The St Regis Punta Mita Resort located in Bahía de Banderas, Mexico.
This prestigious hotel offers unparalleled hospitality with a range of amenities and services to ensure a memorable stay.
Enjoy the convenience of laundry service and stay connected with free WiFi in rooms.
Indulge in exciting activities such as horse riding and diving, or relax at the beauty salon, indulge in a massage, or rejuvenate with hydrotherapy sessions.
Families will appreciate the organized activities for kids and playground, while accessibility features including accessible bathrooms and hotel facilities cater to all guests' needs."	ChatGPT/feb-20	9	26	22
"Name: Hotel The St Regis Punta Mita Resort
Star rating: 5
City: Bahía de Banderas
Country: Mexico
Accommodation type: Hotel
Hotel facilities: Laundry service
Room amenities: Free WiFi (rooms)
Sport: Horse riding, Diving
Childcare services: Organised activities for kids, Playground
Wellness: Beauty salon, Massage, Hydrotherapy
Accessibility: Accessible bathroom, Accessible hotel"	"Indulge in luxury at the 5-star Hotel The St Regis Punta Mita Resort in Bahía de Banderas, Mexico.
This hotel offers a serene escape with its accessible accommodations and soothing wellness amenities, including a beauty salon, massage treatments, and hydrotherapy.
Keep entertained with thrilling sports like horse riding and diving.
Families can enjoy organized activities and a playground for kids.
The hotel also provides convenient laundry services and ensures a comfortable stay with free in-room WiFi."	gemini-1.0-pro	10	6	2
"Name: Piscina Rei
Star rating: 4
City: Muravera
Country: Italy
Accommodation type: Resort
Hotel facilities: Hotel bar
Room amenities: Balcony (upon inquiry)
Sport: Volleyball, Surfing, Bike rental
Childcare services: Kids stay for free, Childcare, Organised activities for kids
Wellness: Massage, Hot tub, Beauty salon
Accessibility: Accessible bathroom, Wheelchair accessible, Accessible parking"	"The Piscina Rei is a 4-star resort located in Muravera, Italy.
It offers a variety of sports and wellness facilities, including a hot tub, massage and beauty salon.
The resort is also family-friendly, with free childcare and organised activities for kids."	google/flan-t5-xxl	11	17	13
